City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Beberibe,BR,80.02,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
606,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
609,Bosaso,SO,85.21,overcast clouds,11.2842,49.1816,Red Sea Hotel
612,Jorochito,BO,88.12,overcast clouds,-18.05,-63.4333,Tom´s Hauss
614,Puli,TW,78.22,clear sky,23.9664,120.9695,牛耳藝術渡假村木屋區
616,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
617,Tallahassee,US,83.08,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
619,Santa Cruz De La Palma,ES,77.14,clear sky,28.6835,-17.7642,H10 Taburiente Playa
626,Kandrian,PG,77.29,broken clouds,-6.2167,149.55,Kandrian Station
627,Sharjah,AE,84.47,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
629,Rosarito,MX,82.63,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
633,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
636,Hobyo,SO,77.11,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
638,Trairi,BR,80.08,scattered clouds,-3.2778,-39.2689,janelas do mar
640,Turan,VN,78.78,thunderstorm,16.0678,108.2208,Grand Mercure Danang
643,Skeldon,GY,81.61,overcast clouds,5.8833,-57.1333,Classic International Hotel & Suites
650,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,hotel la terminal
654,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
660,Chiredzi,ZW,79.27,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
664,Coahuayana,MX,87.17,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
665,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
667,Turayf,SA,77.25,clear sky,31.6725,38.6637,Al Mudawah Hotel
672,Niono,ML,89.06,clear sky,14.2526,-5.993,Hôtel Campement
674,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
677,Am Timan,TD,77.49,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
682,Sechura,PE,77.04,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
686,Itoman,JP,80.62,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
689,Cabanas,CU,81.46,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
690,Nago,JP,77.45,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
691,Daru,PG,79.25,overcast clouds,-9.0763,143.2092,Daru Lodge
700,Tucuman,AR,82.4,smoke,-26.8241,-65.2226,Dallas Hotel Tucuman
701,Dwarka,IN,81.57,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
702,Takoradi,GH,76.08,clear sky,4.8845,-1.7554,Raybow International Hotel
703,Lufkin,US,86.85,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
709,Abu Dhabi,AE,86.97,clear sky,24.4667,54.3667,Beach Rotana
710,Piacabucu,BR,79.03,clear sky,-10.4056,-36.4344,Piaçabuçu News
712,Port Blair,IN,80.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
