City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Artvin,TR,41.1667,41.8333,60.58,95,100,3.56,overcast clouds
245,Santa Helena,BR,-2.2311,-45.3,88.21,50,39,8.68,scattered clouds
246,Obregon,NI,11.9566,-85.9636,89.69,63,56,6.91,broken clouds
247,Touros,BR,-5.1989,-35.4608,79.32,79,0,14.58,clear sky
248,Batagay-Alyta,RU,67.8006,130.4114,17.49,96,100,3.4,light snow
249,Beruwala,LK,6.4788,79.9828,76.98,89,100,9.71,overcast clouds
250,Lexington,US,37.9887,-84.4777,77.74,21,0,4.61,clear sky
251,Hearst,CA,49.6835,-83.6665,60.08,89,97,8.37,moderate rain
252,Hwange,ZW,-18.3693,26.5019,78.64,26,1,3.76,clear sky
253,Lata,PT,40.1629,-8.3327,64.92,82,0,2.17,clear sky
254,Plainview,US,40.7765,-73.4673,60.75,92,100,9.22,moderate rain
255,Saldanha,ZA,-33.0117,17.9442,57.52,77,1,9.28,clear sky
256,Juegang,CN,32.3174,121.1855,60.91,87,100,11.27,overcast clouds
257,Palmer,US,42.1584,-72.3287,61.59,85,100,11.5,light intensity drizzle
258,Rock Hill,US,34.9249,-81.0251,77.41,41,0,5.75,clear sky
259,Souillac,MU,-20.5167,57.5167,71.98,73,20,8.05,few clouds
260,Seymchan,RU,62.8833,152.4333,17.82,87,100,14.92,overcast clouds
261,Villamontes,BO,-21.25,-63.5,103.32,19,3,11.97,clear sky
262,Torbay,CA,47.6666,-52.7314,62.76,55,5,4.0,clear sky
263,Pinega,RU,64.7001,43.3936,45.28,94,100,3.09,overcast clouds
264,Mitsamiouli,KM,-11.3847,43.2844,75.24,78,3,4.25,clear sky
265,Tarko-Sale,RU,64.9225,77.785,34.92,73,100,7.27,overcast clouds
266,Ishnya,RU,57.1907,39.36,43.79,92,100,6.62,overcast clouds
267,Tabou,CI,4.423,-7.3528,76.32,91,87,6.58,overcast clouds
268,Bud,US,39.447,-86.1758,78.85,29,46,3.4,scattered clouds
269,Ahipara,NZ,-35.1667,173.1667,53.11,67,99,19.24,overcast clouds
270,Jeremoabo,BR,-10.075,-38.4808,88.52,31,63,14.29,broken clouds
271,Kaitangata,NZ,-46.2817,169.8464,36.95,83,100,14.29,overcast clouds
272,Simiti,CO,7.9579,-73.9436,87.28,66,98,3.2,overcast clouds
273,Victor Harbor,AU,-35.5667,138.6167,55.69,94,12,7.09,few clouds
274,Villa Bisono,DO,19.5638,-70.8758,88.11,71,96,7.43,overcast clouds
275,Itarema,BR,-2.9248,-39.9167,80.46,74,44,18.16,scattered clouds
276,Dzhebariki-Khaya,RU,62.2167,135.8,5.85,97,35,1.45,scattered clouds
277,Pangnirtung,CA,66.1451,-65.7125,33.8,93,100,0.0,light snow
278,Dukat,RU,62.55,155.55,9.64,96,100,7.23,light snow
279,Bocanda,CI,7.0626,-4.4995,73.94,95,38,3.62,scattered clouds
280,Moorhead,US,46.8739,-96.7676,75.97,47,0,10.36,clear sky
281,Lompoc,US,34.6391,-120.4579,92.01,72,9,4.0,clear sky
282,Chernyshevskiy,RU,63.0128,112.4714,26.76,84,89,8.66,overcast clouds
283,Zambezi,ZM,-13.5432,23.1047,76.64,21,62,4.9,broken clouds
284,Tucumcari,US,35.1717,-103.725,64.94,59,100,14.97,overcast clouds
285,Matadi,CD,-5.8167,13.45,78.33,78,100,5.3,overcast clouds
286,Iwanai,JP,42.9744,140.5089,45.77,70,98,9.75,overcast clouds
287,Champerico,GT,14.3,-91.9167,93.74,73,100,5.55,overcast clouds
288,Gurjaani,GE,41.7429,45.8011,68.49,54,44,3.53,scattered clouds
289,Stykkisholmur,IS,65.0757,-22.7297,42.03,79,100,7.4,overcast clouds
290,Tynda,RU,55.1667,124.7167,24.73,70,96,5.01,overcast clouds
291,Sitka,US,57.0531,-135.33,58.89,88,100,16.11,light rain
292,Sawakin,SD,19.1059,37.3321,86.52,51,0,2.68,clear sky
293,Sobolevo,RU,54.4299,31.8996,45.23,97,100,9.22,overcast clouds
294,Honiara,SB,-9.4333,159.95,77.83,79,100,5.77,overcast clouds
295,Humaita,BR,-7.5061,-63.0208,99.36,29,83,3.29,broken clouds
296,Sal Rei,CV,16.1833,-22.9167,81.39,78,49,8.97,scattered clouds
297,Nemuro,JP,43.3236,145.575,50.41,71,100,9.28,overcast clouds
298,Silver City,US,32.7701,-108.2803,68.92,78,100,11.5,overcast clouds
299,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,8.05,light snow
300,Caravelas,BR,-17.7125,-39.2481,77.31,75,79,11.16,broken clouds
301,Chimore,BO,-16.9833,-65.1333,89.67,49,100,1.95,overcast clouds
302,Palana,RU,59.1167,159.9667,34.45,77,100,35.37,snow
303,Gamba,GA,-2.65,10.0,75.74,87,71,8.19,broken clouds
304,Bontang,ID,0.1333,117.5,76.8,88,100,4.09,overcast clouds
305,Vizinga,RU,61.0749,50.1031,42.55,94,100,6.62,overcast clouds
306,Lagunas,PE,-5.2269,-75.6753,98.92,30,100,3.13,overcast clouds
307,Nome,US,64.5011,-165.4064,35.67,87,40,5.75,scattered clouds
308,Brae,GB,60.3964,-1.353,50.07,84,85,33.89,light rain
309,Grindavik,IS,63.8424,-22.4338,43.27,81,75,8.05,broken clouds
310,Tongliao,CN,43.6125,122.2653,34.18,41,13,7.05,few clouds
311,Sao Filipe,CV,14.8961,-24.4956,79.45,80,50,6.76,scattered clouds
312,San Policarpo,PH,12.1791,125.5072,80.92,78,100,4.32,overcast clouds
313,Yatou,CN,37.15,122.3833,51.71,54,80,11.79,broken clouds
314,Nakamura,JP,32.9833,132.9333,67.01,95,99,0.56,overcast clouds
315,Cabedelo,BR,-6.9811,-34.8339,79.47,80,1,12.17,clear sky
316,Port Augusta,AU,-32.5,137.7667,57.61,81,0,1.59,clear sky
317,Napuro,PH,12.0273,124.7082,75.49,94,100,3.6,overcast clouds
318,Hailar,CN,49.2,119.7,25.16,64,33,7.52,scattered clouds
319,Kruszwica,PL,52.6756,18.3313,54.14,72,54,10.27,broken clouds
320,College,US,64.8569,-147.8028,46.2,82,75,3.44,broken clouds
321,Gubkinskiy,RU,64.434,76.5026,35.49,78,100,5.08,overcast clouds
322,Skibbereen,IE,51.55,-9.2667,55.22,68,0,18.84,clear sky
323,Whitecourt,CA,54.1502,-115.6855,53.1,50,99,9.64,overcast clouds
324,San Patricio,US,28.017,-97.5169,89.55,33,48,8.77,scattered clouds
325,Nan,TH,18.8333,100.6667,70.09,98,62,1.12,broken clouds
326,Bardiyah,LY,31.7561,25.0865,72.91,58,0,13.4,clear sky
327,Broken Hill,AU,-31.95,141.4333,61.74,58,0,3.67,clear sky
328,Talakan,RU,50.3167,130.3667,28.4,71,55,6.62,broken clouds
329,Seoni,IN,22.0833,79.5333,71.22,97,100,3.49,overcast clouds
330,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.78,79,10,8.61,clear sky
331,Pangoa,PE,-12.1167,-73.0,85.93,56,100,2.3,overcast clouds
332,Okhotsk,RU,59.3833,143.3,29.37,55,100,9.15,overcast clouds
333,Launceston,AU,-41.45,147.1667,50.81,79,40,6.91,scattered clouds
334,Christchurch,NZ,-43.5333,172.6333,41.41,58,71,12.66,broken clouds
335,Puri,IN,19.8,85.85,79.32,83,21,14.5,few clouds
336,Keti Bandar,PK,24.1447,67.4497,80.74,76,68,10.83,broken clouds
337,Katherine,AU,-14.4667,132.2667,82.72,65,75,4.61,broken clouds
338,Juneau,US,58.3019,-134.4197,57.11,94,100,5.75,overcast clouds
339,Komsomolskiy,UZ,40.4272,71.7189,54.32,40,91,6.91,overcast clouds
340,Aklavik,CA,68.2191,-135.0107,32.67,89,100,14.05,overcast clouds
341,Anadyr,RU,64.75,177.4833,42.49,93,97,35.01,light rain
342,Maloy,NO,61.9353,5.1136,51.53,1,100,26.13,overcast clouds
343,Kodinsk,RU,58.6881,99.1844,33.49,99,100,4.47,light snow
344,Panaba,MX,21.2833,-88.2667,89.65,32,0,13.49,clear sky
345,Anahuac,MX,27.2333,-100.15,85.14,45,56,11.14,broken clouds
346,Mecca,SA,21.4267,39.8261,85.82,37,0,4.38,clear sky
347,Krutinka,RU,56.0055,71.5113,45.9,51,100,9.42,overcast clouds
